English Text,Screen/Context,Notes
Type,Race Card Widget (Common/Shared); Race Invite Service (Common/Shared); Places Service (Common/Shared); Firebase Push Notification Service (Common/Shared); Admin Dashboard Service (Common/Shared),Form Input
Schedule,Race Card Widget (Common/Shared),Form Input
Start Date,Race Card Widget (Common/Shared),Form Input
Start Time,Race Card Widget (Common/Shared),Form Input
Active,Race Card Widget (Common/Shared); Races List Controller (Common/Shared); Firebase Service (Common/Shared); Admin Dashboard Service (Common/Shared); Race Service (Common/Shared); Race State Machine (Common/Shared); Race Repository (Common/Shared); Race Data Model (Common/Shared),"String Literal, Likely button label - keep concise"
", userName:",Race Card Widget (Common/Shared); Completed Races Controller (Common/Shared); Static Notifications Service (Common/Shared); Race Data Model (Common/Shared),"String Literal, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 16, fontWeight: FontWeight.w700, color: Colors.black87, ), maxLines: 2, overflow: TextOverflow.ellipsis, ), SizedBox(height: 2), Text(",Race Card Widget (Common/Shared),String Literal
Unknown Organizer,Race Card Widget (Common/Shared),"String Literal, Likely button label - keep concise"
", value:",Race Card Widget (Common/Shared); Unified Notification Test (Common/Shared),"String Literal, Likely button label - keep concise"
", value: currentRank > 0 ?",Race Card Widget (Common/Shared),"String Literal, Question"
; if (finishOrder == 1 || finalRank == 1) { rankEmoji =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; rankBadge =,Race Card Widget (Common/Shared),"String Literal, Likely button label - keep concise"
; } else if (finishOrder == 2 || finalRank == 2) { rankEmoji =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; } else if (finishOrder == 3 || finalRank == 3) { rankEmoji =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
", value: finalRank > 0 ?",Race Card Widget (Common/Shared),"String Literal, Question"
", value: isMarathon ?",Race Card Widget (Common/Shared),"String Literal, Question"
; isEnabled = true; } else if (currentRace.statusId == 4) { // Race fully completed buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder, Success message"
"; isEnabled = true; } else { // Race active, user still racing buttonText =",Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; isEnabled = true; } } else if (isButtonLoading) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; isEnabled = false; } else if (hasPending) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; isEnabled = false; } else if (canJoin) { // Check if guest user trying to join race if (GuestUtils.isGuest()) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; isEnabled = false; isGuestLocked = true; } else { if (currentRace.isPrivate == true) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; } else { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; } isEnabled = true; } } else { if ((currentRace.joinedParticipants ?? 0) >= (currentRace.maxParticipants ?? 0)) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; } else if (currentRace.statusId == 4) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
; } else if (currentRace.statusId == 5) { buttonText =,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
).format(dateTime); } catch (e) { try { // Try to parse the format,Race Card Widget (Common/Shared); Common Methods (Common/Shared),"String Literal, Contains variable placeholder"
if (scheduleTime.contains(,Race Card Widget (Common/Shared),"String Literal, Likely button label - keep concise"
)) { final datePart = scheduleTime.split(,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
)[0]; final DateTime dateTime = DateFormat(,Race Card Widget (Common/Shared); Common Methods (Common/Shared),String Literal
).parse(datePart); return DateFormat(,Race Card Widget (Common/Shared); Common Methods (Common/Shared),"String Literal, Likely button label - keep concise"
).format(dateTime); } return scheduleTime.split(,Race Card Widget (Common/Shared),String Literal
).first; } catch (e2) { return scheduleTime.split(,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
)) { final parts = scheduleTime.split(,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
); if (parts.length >= 2) { final datePart = parts[0]; final timePart = parts[1]; // Parse both date and time to get full DateTime final dateTime = DateFormat(,Race Card Widget (Common/Shared); Common Methods (Common/Shared),"String Literal, Contains variable placeholder"
).parse(datePart); final timeFormat = DateFormat(,Race Card Widget (Common/Shared); Common Methods (Common/Shared),String Literal
"); final timeOnly = timeFormat.parse(timePart); // Combine date and time final fullDateTime = DateTime( dateTime.year, dateTime.month, dateTime.day, timeOnly.hour, timeOnly.minute, ); return DateFormat(",Race Card Widget (Common/Shared); Common Methods (Common/Shared),String Literal
).format(fullDateTime); } } // Fallback: try to extract just the time part final timePart = scheduleTime .split(,Race Card Widget (Common/Shared),String Literal
) .where( (part) => part.contains(,Race Card Widget (Common/Shared),String Literal
) || part.toLowerCase().contains(,Race Card Widget (Common/Shared),"String Literal, Likely button label - keep concise"
"), ) .join(",Race Card Widget (Common/Shared),"String Literal, Likely button label - keep concise"
); if (timePart.isNotEmpty) { final timeOnly = DateFormat(,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
).parse(timePart); return DateFormat(,Race Card Widget (Common/Shared); Common Methods (Common/Shared),"String Literal, Likely button label - keep concise"
).format(timeOnly); } return scheduleTime.split(,Race Card Widget (Common/Shared),String Literal
).last; } catch (e2) { return scheduleTime.split(,Race Card Widget (Common/Shared),"String Literal, Contains variable placeholder"
/race-details/${race.id},Race Card Widget (Common/Shared); Races List Controller (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Contains variable placeholder, Likely button label - keep concise"
Hurray! You,Post Completion Modal (Common/Shared),"Text Widget, Likely button label - keep concise"
The race continues for others. What would you like to do?,Post Completion Modal (Common/Shared),"Text Widget, Question"
Close,Post Completion Modal (Common/Shared),"Text Widget, Likely button label - keep concise"
Watch Others Racing,Post Completion Modal (Common/Shared),Form Input
View Current Leaderboard,Post Completion Modal (Common/Shared),Form Input
", isPrimary: false, ), SizedBox(height: 18), // Close button TextButton( onPressed: () => Get.back(), style: TextButton.styleFrom( padding: EdgeInsets.symmetric( horizontal: 24, vertical: 12, ), ), child: Row( mainAxisSize: MainAxisSize.min, children: [ Icon( Icons.close_rounded, size: 18, color: Colors.black45, ), SizedBox(width: 6), Text(",Post Completion Modal (Common/Shared),String Literal
connecting,Sync Animation Widget (Common/Shared),"String Literal, Likely button label - keep concise"
syncing,Sync Animation Widget (Common/Shared),"String Literal, Likely button label - keep concise"
updating,Sync Animation Widget (Common/Shared),"String Literal, Likely button label - keep concise"
completed,Sync Animation Widget (Common/Shared); Races List Controller (Common/Shared); Admin Dashboard Service (Common/Shared); Race Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Race State Machine (Common/Shared); Race Repository (Common/Shared); Race Data Model (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Likely button label - keep concise, Success message"
❌ Error initializing friend notifications: $e,Home Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
✅ [DEFERRED] Race monitoring started,Home Controller (Common/Shared),String Literal
❌ [DEFERRED] Failed to start race monitoring: $e,Home Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
ℹ️ [DEFERRED] Background sync will initialize when user enables it,Home Controller (Common/Shared),String Literal
""", response[",Notification Controller (Common/Shared),"Snackbar/Toast, Likely button label - keep concise"
🔄 Loading notifications - isRead filter: $isRead,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
status,Notification Controller (Common/Shared); Race Invite Service (Common/Shared); Notification Repository (Common/Shared); Firebase Service (Common/Shared); Places Service (Common/Shared); Admin Dashboard Service (Common/Shared); Admin Race Service (Common/Shared); Race State Machine (Common/Shared); Race Repository (Common/Shared); Pending Requests Service (Common/Shared); Race Data Migration (Common/Shared),"String Literal, Likely button label - keep concise"
); if (response[,Notification Controller (Common/Shared),"String Literal, Likely button label - keep concise"
] == 200) { if (response[,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
] != null) { final notifications = parseNotifications(response[,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
); } } else { final errorMessage = response[,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
); showSnackbar(,Notification Controller (Common/Shared),"String Literal, Likely button label - keep concise"
); } else { showSnackbar(,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
] == 200) { for (var n in allNotifications) { if (all) { n.isRead = true; } else { if (n.isSelected) { n.isRead = true; } } } selectionMode.value = false; allNotifications.refresh(); showSnackbar(,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
", response[",Notification Controller (Common/Shared),"String Literal, Likely button label - keep concise"
]); } else { showSnackbar(,Notification Controller (Common/Shared),"String Literal, Contains variable placeholder"
", arguments: {",Notification Controller (Common/Shared),"String Literal, Contains variable placeholder, Likely button label - keep concise"
); } break; case,Notification Controller (Common/Shared),String Literal
: // Navigate to marathon screen Get.toNamed(,Notification Controller (Common/Shared),String Literal
); break; case,Notification Controller (Common/Shared),"String Literal, Likely button label - keep concise"
: // Navigate to friends screen Get.toNamed(,Notification Controller (Common/Shared),String Literal
: // Navigate to hall of fame Get.toNamed(,Notification Controller (Common/Shared),String Literal
dart:developer,Completed Races Controller (Common/Shared); Races List Controller (Common/Shared); Leaderboard Controller (Common/Shared); Home Screen Controller (Common/Shared); Race Bot Service (Common/Shared); Permission Service (Common/Shared); Firebase Service (Common/Shared); Places Service (Common/Shared); Xp Service (Common/Shared); Leaderboard Service (Common/Shared); Background Step Sync Service (Common/Shared); Respiratory Data Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Season Service (Common/Shared); Independent Pedometer Service (Common/Shared); Race Step Sync Service (Common/Shared); Heart Rate Service (Common/Shared); Health Sync Coordinator (Common/Shared); Race Data Migration (Common/Shared); Init Season Data (Common/Shared),"String Literal, Likely button label - keep concise"
races,Completed Races Controller (Common/Shared); Races List Controller (Common/Shared); Race Bot Service (Common/Shared); Firebase Service (Common/Shared); Admin Dashboard Service (Common/Shared); Admin Race Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Race State Machine (Common/Shared); Race Step Sync Service (Common/Shared); Race Repository (Common/Shared); Race Data Migration (Common/Shared),"String Literal, Likely button label - keep concise"
) .orderBy(,Completed Races Controller (Common/Shared); Races List Controller (Common/Shared); Leaderboard Service (Common/Shared); Race Service (Common/Shared); Race Data Model (Common/Shared),"String Literal, Likely button label - keep concise"
); } races.add(raceData); } } catch (e) { log(,Completed Races Controller (Common/Shared),"String Literal, Contains variable placeholder"
); } } completedRaces.value = races; isLoading.value = false; log(,Completed Races Controller (Common/Shared),"String Literal, Success message"
); } catch (e) { log(,Completed Races Controller (Common/Shared); Races List Controller (Common/Shared); Race Bot Service (Common/Shared); Firebase Service (Common/Shared); Xp Service (Common/Shared); Leaderboard Service (Common/Shared); Season Service (Common/Shared),"String Literal, Contains variable placeholder"
) .where(,Completed Races Controller (Common/Shared); Race Invite Service (Common/Shared); Xp Service (Common/Shared); Admin Analytics Service (Common/Shared); Leaderboard Service (Common/Shared); Race Service (Common/Shared); Season Service (Common/Shared),"String Literal, Likely button label - keep concise"
", whereIn: [3, 4, 6]) .orderBy(",Completed Races Controller (Common/Shared),String Literal
) .get(); log(,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
); } } log(,Races List Controller (Common/Shared),String Literal
🚫 Filtering out solo race,Races List Controller (Common/Shared),String Literal
- not created by current user,Races List Controller (Common/Shared),String Literal
t belong to current user } } // ✅ Use pre-loaded participants (no additional query needed!) final participants = participantsByRace[doc.id] ?? []; // Update race with participants final updatedRace = raceData.copyWith(participants: participants); newRaces.add(updatedRace); } catch (e) { log(,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
); } } races.value = newRaces; _applyFilters(); isLoading.value = false; stopwatch.stop(); log(,Races List Controller (Common/Shared),String Literal
All Races,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Public,Races List Controller (Common/Shared); Race Invite Service (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Likely button label - keep concise"
Private,Races List Controller (Common/Shared); Race Invite Service (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Likely button label - keep concise"
Solo,Races List Controller (Common/Shared); Race Invite Service (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Likely button label - keep concise"
Quick,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Scheduled,Races List Controller (Common/Shared); Admin Dashboard Service (Common/Shared); Race Service (Common/Shared); Race State Machine (Common/Shared),"String Literal, Likely button label - keep concise"
Short (< 5km),Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Medium (5-15km),Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Long (> 15km),Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Male,Races List Controller (Common/Shared); Race Service (Common/Shared),"String Literal, Likely button label - keep concise"
Female,Races List Controller (Common/Shared); Race Service (Common/Shared); Step Calculation Helper (Common/Shared),"String Literal, Likely button label - keep concise"
No preference,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Race stream error: $error,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
Connection Error,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise, Error message"
; case 3: return,Races List Controller (Common/Shared); Race Service (Common/Shared); Notification Helpers (Common/Shared),String Literal
; case 4: return,Races List Controller (Common/Shared); Race Service (Common/Shared),String Literal
; case 5: return,Races List Controller (Common/Shared),String Literal
; default: return,Races List Controller (Common/Shared); Race Service (Common/Shared); Notification Helpers (Common/Shared),"String Literal, Likely button label - keep concise"
; } else if (race.raceTypeId == 4) { return,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
; } else if (race.isPrivate == true) { return,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
; } else { return,Races List Controller (Common/Shared); Local Notification Service (Common/Shared),"String Literal, Contains variable placeholder"
; } return,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Please login to request to join races,Races List Controller (Common/Shared),String Literal
Race not found,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Success,Races List Controller (Common/Shared); Local Notification Service (Common/Shared),"String Literal, Likely button label - keep concise, Success message"
Join request sent successfully!,Races List Controller (Common/Shared),"String Literal, Success message"
Failed to send join request,Races List Controller (Common/Shared),"String Literal, Error message"
Error requesting to join race: $e,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
Login Required,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Please login to join races,Races List Controller (Common/Shared),String Literal
Race Full,Races List Controller (Common/Shared); Race Button Utils (Common/Shared),"String Literal, Likely button label - keep concise"
Race is full,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
Successfully joined the race!,Races List Controller (Common/Shared),"String Literal, Success message"
Failed to join race. Please try again.,Races List Controller (Common/Shared),"String Literal, Error message"
Error joining race: $e,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder, Error message"
Failed to join race,Races List Controller (Common/Shared),"String Literal, Error message"
Request Pending,Races List Controller (Common/Shared),"String Literal, Likely button label - keep concise"
You already have a pending request for this race,Races List Controller (Common/Shared),String Literal
👥 Participant joined race: $raceName (Cloud Function will send notification),Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
👥 Organizer auto-joined their own race during creation,Races List Controller (Common/Shared),String Literal
👥 Started monitoring participants for race: $raceName ($raceId),Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
👥 Participant count changed in race: $raceName (Cloud Function will send notification),Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
👥 Started monitoring participants for joined race: $raceName ($raceId),Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
🔇 Stopped monitoring participants for race: $raceId,Races List Controller (Common/Shared),"String Literal, Contains variable placeholder"
); } } } catch (e) { log(,Leaderboard Controller (Common/Shared),"String Literal, Contains variable placeholder"
); } finally { isLoadingSeasons.value = false; } } /// Load user,Leaderboard Controller (Common/Shared),"String Literal, Contains variable placeholder"
📋 Loaded ${friendIds.length} friends,Leaderboard Controller (Common/Shared),"String Literal, Contains variable placeholder"
