English Text,Screen/Context,Notes
Purchase stream error: $error,Subscription Controller (Subscription/Premium),"String Literal, Contains variable placeholder, Error message"
Payment Error,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise, Error message"
"Purchase initiated, waiting for completion...",Subscription Controller (Subscription/Premium),String Literal
Failed to start purchase process.,Subscription Controller (Subscription/Premium),"String Literal, Error message"
Purchases Restored,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
Your previous purchases have been restored successfully.,Subscription Controller (Subscription/Premium),"String Literal, Success message"
No Purchases Found,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
No previous purchases were found to restore.,Subscription Controller (Subscription/Premium),String Literal
Restore Failed,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise, Error message"
Subscription Management,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
", ); } catch (e) { // SnackbarUtils.showError( //",Subscription Controller (Subscription/Premium),"String Literal, Contains variable placeholder, Error message"
", style: const TextStyle(fontSize: 18, fontWeight: FontWeight.w600), ), ), ], ), content: Column( mainAxisSize: MainAxisSize.min, crossAxisAlignment: CrossAxisAlignment.start, children: [ Text(",Subscription Controller (Subscription/Premium),String Literal
re about to purchase:,Subscription Controller (Subscription/Premium),String Literal
", style: TextStyle( fontSize: 12, color: Colors.grey[600], ), ), ], ), actions: [ TextButton( onPressed: () => Get.back(result: false), child: Text(",Subscription Controller (Subscription/Premium),String Literal
", style: TextStyle(color: Colors.grey[600]), ), ), ElevatedButton( onPressed: () => Get.back(result: true), style: ElevatedButton.styleFrom( backgroundColor: Colors.blue, foregroundColor: Colors.white, shape: RoundedRectangleBorder( borderRadius: BorderRadius.circular(8), ), ), child: const Text(",Subscription Controller (Subscription/Premium),String Literal
", style: TextStyle(fontSize: 18, fontWeight: FontWeight.w600), ), ), ], ), content: Text(",Subscription Controller (Subscription/Premium),String Literal
ll be redirected to your $platformName settings where you can manage or cancel your subscription.,Subscription Controller (Subscription/Premium),"String Literal, Contains variable placeholder"
⚠️ Cannot save subscription: No authenticated user,Subscription Controller (Subscription/Premium),String Literal
", platform: Platform.isIOS ?",Subscription Controller (Subscription/Premium),"String Literal, Question"
", additionalData: {",Subscription Controller (Subscription/Premium),"String Literal, Contains variable placeholder, Likely button label - keep concise"
": purchase.productID,",Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
Free Plan,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
Lifetime Premium,Subscription Controller (Subscription/Premium),"String Literal, Likely button label - keep concise"
user_profiles,Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
platform,Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
purchased,Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
Failed to save subscription,Firebase Subscription Service (Subscription/Premium),"String Literal, Error message"
"⚠️ User profile not found, returning free subscription",Firebase Subscription Service (Subscription/Premium),String Literal
"⚠️ No subscription data found, returning free subscription",Firebase Subscription Service (Subscription/Premium),String Literal
🔄 Subscription updated via stream: ${subscription.currentPlan.name},Firebase Subscription Service (Subscription/Premium),"String Literal, Contains variable placeholder"
status,Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
) .doc(userId) .get(); if (!userProfileDoc.exists) { return []; } final data = userProfileDoc.data(); final historyData = data?[,Firebase Subscription Service (Subscription/Premium),"String Literal, Contains variable placeholder"
": action,",Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
": plan,",Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
": transactionId,",Firebase Subscription Service (Subscription/Premium),"String Literal, Likely button label - keep concise"
) .doc(userId) .update({,Firebase Subscription Service (Subscription/Premium),"String Literal, Contains variable placeholder, Likely button label - keep concise"
✅ Subscription validation completed,Firebase Subscription Service (Subscription/Premium),"String Literal, Success message"
❌ Subscription validation failed: $e,Firebase Subscription Service (Subscription/Premium),"String Literal, Contains variable placeholder, Error message"
($details),Firebase Subscription Service (Subscription/Premium),"String Literal, Contains variable placeholder, Likely button label - keep concise"
