English Text,Screen/Context,Notes
re using unreadCounts at room level } catch (e) { log(,Chat Controller (Social Features),"String Literal, Contains variable placeholder"
; participantProfilePictures[race.organizerUserId!] = null; // Preserve existing unread count or default to 0 unreadCounts[race.organizerUserId!] = existingRoom.unreadCounts[race.organizerUserId!] ?? 0; } // Add participants if (race.participants != null) { for (final participant in race.participants!) { if (participant.userId != null && !participantIds.contains(participant.userId)) { participantIds.add(participant.userId!); participantNames[participant.userId!] = participant.userName ??,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Question"
) .doc(existingRoom.id) .update({,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
": participantIds,",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
": participantNames,",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
": participantProfilePictures,",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
": unreadCounts,",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
); } } catch (e) { log(,Chat Controller (Social Features),"String Literal, Contains variable placeholder"
); SnackbarUtils.showError(,Friends Controller (Social Features),"String Literal, Likely button label - keep concise, Error message"
Search Error,Friends Controller (Social Features),"String Literal, Likely button label - keep concise, Error message"
Friend request sent to ${user.fullName},Friends Controller (Social Features),"String Literal, Contains variable placeholder"
Success,Friends Controller (Social Features),"String Literal, Likely button label - keep concise, Success message"
You are now friends with ${request.senderName},Friends Controller (Social Features),"String Literal, Contains variable placeholder"
Declined,Friends Controller (Social Features),"String Literal, Likely button label - keep concise"
Friend request from ${request.senderName} declined,Friends Controller (Social Features),"String Literal, Contains variable placeholder"
Cancelled,Friends Controller (Social Features),"String Literal, Likely button label - keep concise"
Friend request to ${user.fullName} cancelled,Friends Controller (Social Features),"String Literal, Contains variable placeholder"
Removed,Friends Controller (Social Features),"String Literal, Likely button label - keep concise"
${friend.friendName} removed from friends,Friends Controller (Social Features),"String Literal, Contains variable placeholder"
❌ No current user for notification monitoring,Friend Notification Service (Social Features),String Literal
🔄 Starting unified notification monitoring for user: $currentUserId,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder"
user_notifications,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
❌ Notification stream error: $error,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder, Error message"
✅ Unified notification monitoring started,Friend Notification Service (Social Features),String Literal
❌ Error starting friend notification monitoring: $e,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder, Error message"
🛑 Unified notification monitoring stopped,Friend Notification Service (Social Features),String Literal
❌ Error stopping notification monitoring: $e,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder, Error message"
📬 Received notification updates: ${snapshot.docChanges.length} changes,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder"
"📝 Doc change type: ${change.type}, doc ID: ${change.doc.id}",Friend Notification Service (Social Features),"String Literal, Contains variable placeholder"
❌ Error handling notification updates: $e,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder, Error message"
type,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
title,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
message,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
icon,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
category,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
⚠️ Invalid notification data,Friend Notification Service (Social Features),"String Literal, Error message"
🔔 Processing notification: $type - $title,Friend Notification Service (Social Features),"String Literal, Contains variable placeholder"
Social,Friend Notification Service (Social Features),"String Literal, Likely button label - keep concise"
t mark as read immediately - keep it unread so it shows in the notification bell log(,Friend Notification Service (Social Features),String Literal
); } catch (e) { log(,Friend Notification Service (Social Features); Friends Service (Social Features),"String Literal, Contains variable placeholder"
", isEqualTo: currentUserId) .where(",Friend Notification Service (Social Features); Friends Service (Social Features),String Literal
", isEqualTo: false) .get(); log(",Friend Notification Service (Social Features),String Literal
user_profiles,Friends Service (Social Features),"String Literal, Likely button label - keep concise"
\uf8ff,Friends Service (Social Features),"String Literal, Likely button label - keep concise"
username,Friends Service (Social Features),"String Literal, Likely button label - keep concise"
Failed to search users: $e,Friends Service (Social Features),"String Literal, Contains variable placeholder, Error message"
s the current user,Friends Service (Social Features),String Literal
s available for them to keep final existingDoc = query.docs.first; if (existingDoc.id == currentUserId) { return true; } } return query.docs.isEmpty; } catch (e) { throw Exception(,Friends Service (Social Features),"String Literal, Contains variable placeholder"
", isEqualTo: currentUser) .where(",Friends Service (Social Features),String Literal
", isEqualTo: userId) .where(",Friends Service (Social Features),String Literal
", isEqualTo:",Friends Service (Social Features),"String Literal, Likely button label - keep concise"
) .limit(1) .get(); if (receivedRequestQuery.docs.isNotEmpty) { return FriendshipStatus.requestReceived; } return FriendshipStatus.none; } catch (e) { throw Exception(,Friends Service (Social Features),"String Literal, Contains variable placeholder"
).doc(currentUser).get(); if (!userDoc.exists) throw Exception(,Friends Service (Social Features),String Literal
).add(request.toJson()); // ✅ Notification will be sent automatically by Cloud Function (onFriendRequestCreated) log(,Friends Service (Social Features),String Literal
); } catch (e) { throw Exception(,Friends Service (Social Features),"String Literal, Contains variable placeholder"
).doc(requestId).get(); if (!requestDoc.exists) throw Exception(,Friends Service (Social Features),String Literal
": FriendRequestStatus.accepted.value,",Friends Service (Social Features),"String Literal, Likely button label - keep concise"
✅ Friend request accepted: ${receiverProfile.fullName} accepted ${senderProfile.fullName}\,Friends Service (Social Features),"String Literal, Contains variable placeholder"
": FriendRequestStatus.declined.value,",Friends Service (Social Features),"String Literal, Likely button label - keep concise"
", isEqualTo: currentUserId) .orderBy(",Friends Service (Social Features),String Literal
) .orderBy(,Friends Service (Social Features),"String Literal, Likely button label - keep concise"
); } } throw Exception(,Friends Service (Social Features),String Literal
", isEqualTo: friendId) .where(",Friends Service (Social Features),String Literal
", isEqualTo: receiverId) .where(",Friends Service (Social Features),String Literal
); } } // ================= NOTIFICATION METHODS ================= // ✅ All friend notifications are now handled by Cloud Functions! // See: functions/notifications/triggers/friendTriggers.js // // Automatic triggers: // - onFriendRequestCreated: Sends notification when friend_requests doc is created // - onFriendRequestAccepted: Sends notification when status changes to,Friends Service (Social Features),String Literal
// - onFriendRequestDeclined: Sends notification when status changes to,Friends Service (Social Features),String Literal
