English Text,Screen/Context,Notes
", isBack: true, circularBackButton: true, backButtonCircleColor: AppColors.neonYellow, backButtonIconColor: Colors.black, backgroundColor: Colors.white, titleColor: AppColors.appColor, showGradient: false, titleStyle: GoogleFonts.roboto( fontSize: 24, fontWeight: FontWeight.bold, color: AppColors.appColor, ), ), body: SingleChildScrollView( physics: const BouncingScrollPhysics(), child: Padding( padding: const EdgeInsets.all(16.0), child: Column( children: [ const SizedBox(height: 8), // Hero Header Container( padding: const EdgeInsets.all(20), decoration: BoxDecoration( gradient: LinearGradient( colors: [ AppColors.appColor, AppColors.appColor.withValues(alpha: 0.8), ], begin: Alignment.topLeft, end: Alignment.bottomRight, ), borderRadius: BorderRadius.circular(20), boxShadow: [ BoxShadow( color: AppColors.appColor.withValues(alpha: 0.3), blurRadius: 20, offset: const Offset(0, 8), ), ], ), child: Column( children: [ const Icon( Icons.emoji_events, size: 48, color: Colors.white, ), const SizedBox(height: 8), Text( raceData?.title ??",Race Winner Screens Widgets (Race Management),"String Literal, Question"
", style: GoogleFonts.poppins( fontSize: 22, fontWeight: FontWeight.w700, color: Colors.white, ), textAlign: TextAlign.center, ), const SizedBox(height: 4), Text(",Race Winner Screens Widgets (Race Management),String Literal
} km,Race Winner Screens Widgets (Race Management),"String Literal, Likely button label - keep concise"
Distance,Race Winner Screens Widgets (Race Management); Race Map Screen (Race Management); Race Invites Screen (Race Management); Quick Race Waiting Room Screen (Race Management); Distance Selector Widget (Race Management); Create Race Controller (Race Management),"String Literal, Likely button label - keep concise"
${participants.where((p) => p.isCompleted).length},Race Winner Screens Widgets (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise, Success message"
Finished,Race Winner Screens Widgets (Race Management),"String Literal, Likely button label - keep concise"
"]; final medalColors = [ [const Color(0xFF1E88E5), const Color(0xFF1565C0)], // Blue gradient for 1st [const Color(0xFFC0C0C0), const Color(0xFF999999)], [const Color(0xFFCD7F32), const Color(0xFF8B4513)], ]; return Container( margin: const EdgeInsets.only(bottom: 8), decoration: BoxDecoration( gradient: LinearGradient( colors: [ Colors.white, medalColors[index][0].withValues(alpha: 0.05), ], begin: Alignment.centerLeft, end: Alignment.centerRight, ), borderRadius: BorderRadius.circular(16), border: Border.all( color: medalColors[index][0].withValues(alpha: 0.3), width: 1.5, ), boxShadow: [ BoxShadow( color: medalColors[index][0].withValues(alpha: 0.15), blurRadius: 12, offset: const Offset(0, 4), ), ], ), child: Padding( padding: const EdgeInsets.all(12), child: Row( children: [ // Medal Badge Container( width: 48, height: 48, decoration: BoxDecoration( gradient: LinearGradient( colors: medalColors[index], begin: Alignment.topLeft, end: Alignment.bottomRight, ), shape: BoxShape.circle, boxShadow: [ BoxShadow( color: medalColors[index][1].withValues(alpha: 0.4), blurRadius: 8, offset: const Offset(0, 2), ), ], ), child: Center( child: Text( medals[index], style: const TextStyle(fontSize: 24), ), ), ), const SizedBox(width: 12), // Participant Info Expanded( child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Row( children: [ Expanded( child: Text( participant.userName.isNotEmpty ? participant.userName :",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 15, fontWeight: FontWeight.w600, color: AppColors.buttonBlack, ), overflow: TextOverflow.ellipsis, ), ), Container( padding: const EdgeInsets.symmetric( horizontal: 8, vertical: 2, ), decoration: BoxDecoration( color: medalColors[index][0].withValues(alpha: 0.2), borderRadius: BorderRadius.circular(12), ), child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", ), ], ], ), ], ), ), ], ), ), ); }), ] else if (!isSoloRace) ...[ // Non-solo race with no finishers yet Container( padding: const EdgeInsets.all(24), decoration: BoxDecoration( color: Colors.grey.withValues(alpha: 0.1), borderRadius: BorderRadius.circular(12), ), child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 16, color: AppColors.iconGrey, ), textAlign: TextAlign.center, ), ), ] else if (isSoloRace && sortedParticipants.isNotEmpty) ...[ // Solo race - show personal stats Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 18, fontWeight: FontWeight.w600, color: AppColors.buttonBlack, ), ), const SizedBox(height: 16), Container( padding: const EdgeInsets.all(16), decoration: BoxDecoration( color: Colors.white, borderRadius: BorderRadius.circular(12), border: Border.all( color: Colors.grey.withValues(alpha: 0.3), width: 2, ), boxShadow: [ BoxShadow( color: Colors.black.withValues(alpha: 0.1), blurRadius: 8, offset: const Offset(0, 2), ), ], ), child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Row( children: [ Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: const TextStyle(fontSize: 32), ), const SizedBox(width: 16), Expanded( child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Text( sortedParticipants[0].userName.isNotEmpty ? sortedParticipants[0].userName :",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 16, fontWeight: FontWeight.w600, color: AppColors.buttonBlack, ), ), const SizedBox(height: 4), Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, color: AppColors.iconGrey, ), ), if (sortedParticipants[0].avgSpeed > 0) Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, color: AppColors.iconGrey, ), ), Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, color: AppColors.iconGrey, ), ), if (sortedParticipants[0].calories > 0) Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, color: AppColors.iconGrey, ), ), ], ), ), ], ), ], ), ), ], const SizedBox(height: 24), // All Participants Section if (sortedParticipants.length > 3) ...[ Container( padding: const EdgeInsets.symmetric(horizontal: 4, vertical: 8), child: Row( children: [ Container( padding: const EdgeInsets.symmetric(horizontal: 12, vertical: 6), decoration: BoxDecoration( gradient: LinearGradient( colors: [ Colors.blue.shade400, Colors.blue.shade600, ], ), borderRadius: BorderRadius.circular(20), ), child: Row( mainAxisSize: MainAxisSize.min, children: [ const Icon(Icons.group, size: 16, color: Colors.white), const SizedBox(width: 6), Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 13, fontWeight: FontWeight.w600, color: Colors.white, ), ), const SizedBox(width: 4), Container( padding: const EdgeInsets.symmetric( horizontal: 6, vertical: 2, ), decoration: BoxDecoration( color: Colors.white.withValues(alpha: 0.3), borderRadius: BorderRadius.circular(10), ), child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 13, fontWeight: FontWeight.w700, color: isTopThree ? Colors.white : Colors.grey.shade700, ), ), ), ), const SizedBox(width: 12), // Participant Info Expanded( child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Text( participant.userName.isNotEmpty ? participant.userName :",Race Winner Screens Widgets (Race Management),String Literal
Create New Race,Create Race Screen (Race Management),"Text Widget, Likely button label - keep concise"
Create a New Race,Create Race Screen (Race Management),Text Widget
Fill in the details below to create a new race for your users,Create Race Screen (Race Management),Text Widget
Start Location,Create Race Screen (Race Management); Quick Race Selection Screen (Race Management),"Text Widget, Likely button label - keep concise"
End Location,Create Race Screen (Race Management),"Text Widget, Likely button label - keep concise"
Cancel,Create Race Screen (Race Management),"Text Widget, Likely button label - keep concise"
Create Race,Create Race Screen (Race Management),"Text Widget, Likely button label - keep concise"
Race Title,Create Race Screen (Race Management),Form Input
Organizer Name,Create Race Screen (Race Management),Form Input
Race Type,Create Race Screen (Race Management),Form Input
Gender Preference,Create Race Screen (Race Management),Form Input
Start Address,Create Race Screen (Race Management),Form Input
Latitude,Create Race Screen (Race Management),Form Input
Longitude,Create Race Screen (Race Management),Form Input
End Address,Create Race Screen (Race Management),Form Input
Total Distance (km),Create Race Screen (Race Management),Form Input
Participant Limit,Create Race Screen (Race Management),Form Input
Schedule Time,Create Race Screen (Race Management),Form Input
Race Deadline,Create Race Screen (Race Management),Form Input
Public,Create Race Screen (Race Management); Races List Screen (Race Management); Quick Race Selection Screen (Race Management),"String Literal, Likely button label - keep concise"
All,Create Race Screen (Race Management); Races List Screen (Race Management),"String Literal, Likely button label - keep concise"
Solo,Create Race Screen (Race Management); Races List Screen (Race Management); Create Race Controller (Race Management),"String Literal, Likely button label - keep concise"
Private,Create Race Screen (Race Management); Races List Screen (Race Management),"String Literal, Likely button label - keep concise"
Marathon,Create Race Screen (Race Management); Races List Screen (Race Management); Create Race Controller (Race Management),"String Literal, Likely button label - keep concise"
Quick Race,Create Race Screen (Race Management); Quick Race Selection Screen (Race Management),"String Literal, Likely button label - keep concise"
Male,Create Race Screen (Race Management); Races List Screen (Race Management),"String Literal, Likely button label - keep concise"
Female,Create Race Screen (Race Management); Races List Screen (Race Management),"String Literal, Likely button label - keep concise"
Other,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Error calculating distance: $e,Create Race Screen (Race Management),"String Literal, Contains variable placeholder, Error message"
Please select a schedule time,Create Race Screen (Race Management),String Literal
Please select a race deadline,Create Race Screen (Race Management),String Literal
User not authenticated,Create Race Screen (Race Management); Quick Race Service (Race Management),"String Literal, Likely button label - keep concise"
scheduled,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Success,Create Race Screen (Race Management); Quick Race Service (Race Management),"String Literal, Likely button label - keep concise, Success message"
Race created successfully!,Create Race Screen (Race Management); Create Race Controller (Race Management),"String Literal, Likely button label - keep concise, Success message"
Error,Create Race Screen (Race Management); Invite Users Screen (Race Management); Race Invites Screen (Race Management),"String Literal, Likely button label - keep concise, Error message"
Basic Information,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Location Details,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Enter destination address,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Race Configuration,Create Race Screen (Race Management),"String Literal, Likely button label - keep concise"
Auto-calculated or enter manually,Create Race Screen (Race Management),String Literal
Please enter $label,Create Race Screen (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise"
"MMM dd, yyyy hh:mm a",Create Race Screen (Race Management),String Literal
Select date and time,Create Race Screen (Race Management),String Literal
Race is Over,Race Dnf Screen Widget (Race Management),"Text Widget, Likely button label - keep concise"
You did not complete the race,Race Dnf Screen Widget (Race Management),"Text Widget, Success message"
Good effort! Try again next time!,Race Dnf Screen Widget (Race Management),Text Widget
Back to Home,Race Dnf Screen Widget (Race Management),"String Literal, Likely button label - keep concise"
Move 10m,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
You can start the race once the timer reaches zero,Race Map Screen (Race Management),Text Widget
Not Enough Participants,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
You need at least $minPart participants to start the race.,Race Map Screen (Race Management),"Text Widget, Contains variable placeholder"
Current,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Required,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Start Race,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Waiting for organizer to start the race!,Race Map Screen (Race Management),Text Widget
Race Gaps,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Milestones,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
✓ ${m}km,Race Map Screen (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Next: ${nextMilestone}km,Race Map Screen (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
All done! 🎉,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Premium Feature,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Race Chat is a premium feature. Upgrade to premium to:,Race Map Screen (Race Management),Text Widget
Unlock all premium features now!,Race Map Screen (Race Management),Text Widget
Maybe Later,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Upgrade Now,Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Duration,Race Map Screen (Race Management); Quick Race Waiting Room Screen (Race Management); Quick Race Selection Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Type,Race Map Screen (Race Management); Quick Race Waiting Room Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Participants,Race Map Screen (Race Management); Quick Race Waiting Room Screen (Race Management); Create Race Screen (Race Management); Participant Selector Widget (Race Management); Create Race Controller (Race Management); Quick Race Controller (Race Management); Quick Race Service (Race Management),"AppBar Title, Likely button label - keep concise"
Starts on,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Starts at,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Avg Speed,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Distance covered,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Distance remaining,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
My Position,Race Map Screen (Race Management),"AppBar Title, Likely button label - keep concise"
Gap to leader,Race Map Screen (Race Management),Form Input
${playerAhead!.userName} ahead,Race Map Screen (Race Management),"Form Input, Contains variable placeholder"
${playerBehind!.userName} behind,Race Map Screen (Race Management),"Form Input, Contains variable placeholder"
dart:ui,Race Map Screen (Race Management); Race Start Countdown (Race Management),"String Literal, Likely button label - keep concise"
", userName:",Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
; Color badgeColor = AppColors.appColor; if (raceTypeId == 1) { typeText =,Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
; badgeColor = Color(0xFF0EA5E9); } else if (raceTypeId == 4) { typeText =,Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
; badgeColor = Color(0xFFEA580C); } else { typeText =,Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
final formatter = DateFormat(,Race Map Screen (Race Management),String Literal
${hours}h ${minutes}m ${seconds}s,Race Map Screen (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise"
${minutes}m ${seconds}s,Race Map Screen (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise"
${seconds}s,Race Map Screen (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise"
Race starts in:,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
Waiting for race to start,Race Map Screen (Race Management),String Literal
: durationMins == 60 ?,Race Map Screen (Race Management),"String Literal, Question"
"; return Positioned( top: 80, left: 0, right: 0, child: Padding( padding: const EdgeInsets.symmetric(vertical: 8.0, horizontal: 20), child: ClipRRect( borderRadius: BorderRadius.circular(10), child: BackdropFilter( filter: ImageFilter.blur(sigmaX: 10, sigmaY: 10), child: Container( padding: EdgeInsets.symmetric(horizontal: 12, vertical: 10), decoration: BoxDecoration( color: Colors.red.withValues(alpha: 0.9), borderRadius: BorderRadius.circular(10), border: Border.all( color: Colors.white.withValues(alpha: 0.4), width: 1.5, ), boxShadow: [ BoxShadow( color: Colors.black.withValues(alpha: 0.2), blurRadius: 8, offset: Offset(0, 2), ), ], ), child: Column( mainAxisSize: MainAxisSize.min, children: [ Row( mainAxisAlignment: MainAxisAlignment.center, children: [ Icon( Icons.timer, color: Colors.white, size: 16, ), SizedBox(width: 6), Text( isSolo ?",Race Map Screen (Race Management),"String Literal, Question"
", style: GoogleFonts.poppins( color: Colors.white, fontSize: 13, fontWeight: FontWeight.w600, ), ), ], ), SizedBox(height: 6), Text( time, style: GoogleFonts.poppins( color: Colors.white, fontSize: 18, fontWeight: FontWeight.bold, letterSpacing: 1.2, ), ), SizedBox(height: 2), Text( isSolo ?",Race Map Screen (Race Management),"String Literal, Question"
", style: GoogleFonts.poppins( fontSize: 18, fontWeight: FontWeight.w700, ), ), ), ], ), content: Column( mainAxisSize: MainAxisSize.min, crossAxisAlignment: CrossAxisAlignment.start, children: [ Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, fontWeight: FontWeight.w500, ), ), SizedBox(height: 16), Container( padding: EdgeInsets.all(16), decoration: BoxDecoration( color: Colors.orange.withValues(alpha: 0.1), borderRadius: BorderRadius.circular(12), border: Border.all( color: Colors.orange.withValues(alpha: 0.3), ), ), child: Row( mainAxisAlignment: MainAxisAlignment.spaceBetween, children: [ Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 11, color: Colors.grey.shade600, ), ), Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 24, fontWeight: FontWeight.w700, color: Colors.orange, ), ), ], ), Icon(Icons.arrow_forward, color: Colors.grey), Column( crossAxisAlignment: CrossAxisAlignment.end, children: [ Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 24, fontWeight: FontWeight.w700, color: Colors.green, ), ), ], ), ], ), ), ], ), actions: [ TextButton( onPressed: () => Navigator.of(context).pop(), style: TextButton.styleFrom( padding: EdgeInsets.symmetric(horizontal: 24, vertical: 12), shape: RoundedRectangleBorder( borderRadius: BorderRadius.circular(12), ), ), child: Text(",Race Map Screen (Race Management),String Literal
] == 200) { // Race started successfully } else { showSnackbar(,Race Map Screen (Race Management),"String Literal, Contains variable placeholder, Success message"
", response?[",Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 15, fontWeight: FontWeight.w700, color: Colors.white, letterSpacing: 0.5, ), ), ], ), ), ); }, ), ), ), ); } else { return ClipRRect( borderRadius: BorderRadius.circular(10), child: BackdropFilter( filter: ImageFilter.blur(sigmaX: 10, sigmaY: 10), child: Container( padding: EdgeInsets.all(10), decoration: BoxDecoration( color: Colors.white.withValues(alpha: 0.85), borderRadius: BorderRadius.circular(10), border: Border.all( color: Colors.white.withValues(alpha: 0.3), width: 1.5, ), ), child: Text(",Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
", style: GoogleFonts.poppins( fontSize: 16, fontWeight: FontWeight.w600, ), textAlign: TextAlign.center, ), ), ), ); } case 2: return ClipRRect( borderRadius: BorderRadius.circular(10), child: BackdropFilter( filter: ImageFilter.blur(sigmaX: 10, sigmaY: 10), child: Container( padding: EdgeInsets.all(10), decoration: BoxDecoration( color: Colors.white.withValues(alpha: 0.85), borderRadius: BorderRadius.circular(10), border: Border.all( color: Colors.white.withValues(alpha: 0.3), width: 1.5, ), ), child: Text(",Race Map Screen (Race Management),String Literal
Keep Racing! No time limit,Race Map Screen (Race Management),String Literal
Time is running out! Finish strong!,Race Map Screen (Race Management),String Literal
Someone,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
🏆 $finisherName took $position place! Keep racing!,Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
Keep Racing! Time is running!,Race Map Screen (Race Management),String Literal
Endurance,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
; } else { return,Race Map Screen (Race Management); Create Race Controller (Race Management),"String Literal, Contains variable placeholder"
; if (rank == 2) return,Race Map Screen (Race Management),String Literal
; if (rank == 3) return,Race Map Screen (Race Management),String Literal
; return,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
; case 1: return,Race Map Screen (Race Management),String Literal
; case 2: return,Race Map Screen (Race Management),String Literal
; case 3: return,Race Map Screen (Race Management),String Literal
; case 4: return,Race Map Screen (Race Management),String Literal
; case 6: return,Race Map Screen (Race Management),String Literal
; case 7: return,Race Map Screen (Race Management),String Literal
; default: return,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
; icon = Icons.celebration; bgColor = Colors.green; } else if (distance >= totalDistance / 2 && distance < (totalDistance / 2 + 0.1)) { message =,Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
re leading! Don,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
re leading!,Race Map Screen (Race Management),"String Literal, Likely button label - keep concise"
by ${_formatGap(gapBehind)},Race Map Screen (Race Management),"String Literal, Contains variable placeholder, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 11, fontWeight: FontWeight.w700, color: Colors.amber.shade900, ), ), ], ), if (distanceToNext > 0) ...[ SizedBox(height: 4), Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 9, color: Colors.grey.shade700, ), ), ], ], ), ) else // All milestones completed Container( padding: EdgeInsets.all(8), decoration: BoxDecoration( color: Colors.green.shade100, borderRadius: BorderRadius.circular(10), border: Border.all(color: Colors.green.shade400, width: 1.5), ), child: Row( children: [ Icon(Icons.emoji_events, size: 16, color: Colors.green.shade700), SizedBox(width: 4), Expanded( child: Text(",Race Map Screen (Race Management),"String Literal, Success message"
", style: GoogleFonts.poppins( fontSize: 18, fontWeight: FontWeight.w600, ), ), ), ], ), content: Column( mainAxisSize: MainAxisSize.min, crossAxisAlignment: CrossAxisAlignment.start, children: [ Text(",Race Map Screen (Race Management),String Literal
"), SizedBox(height: 16), Container( padding: EdgeInsets.all(12), decoration: BoxDecoration( gradient: LinearGradient( colors: [ AppColors.appColor.withValues(alpha: 0.1), AppColors.neonYellow.withValues(alpha: 0.1), ], ), borderRadius: BorderRadius.circular(10), border: Border.all( color: AppColors.appColor.withValues(alpha: 0.3), width: 1, ), ), child: Row( children: [ Icon( Icons.star_rounded, color: AppColors.appColor, size: 20, ), SizedBox(width: 8), Expanded( child: Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 12, color: AppColors.appColor, fontWeight: FontWeight.w600, ), ), ), ], ), ), ], ), actions: [ TextButton( onPressed: () => Navigator.pop(context), child: Text(",Race Map Screen (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 14, color: Colors.grey[600], fontWeight: FontWeight.w500, ), ), ), ElevatedButton( onPressed: () { Navigator.pop(context); // Navigate to subscription screen Get.to(() => SubscriptionScreen()); }, style: ElevatedButton.styleFrom( backgroundColor: AppColors.appColor, shape: RoundedRectangleBorder( borderRadius: BorderRadius.circular(12), ), padding: EdgeInsets.symmetric(horizontal: 24, vertical: 12), ), child: Text(",Race Map Screen (Race Management),"String Literal, Contains variable placeholder"
", style: GoogleFonts.poppins( fontSize: 48, fontWeight: FontWeight.w900, color: Colors.white, letterSpacing: 2, ), ), ], ) : Text(",Race Map Screen (Race Management),String Literal
Invite Friends,Invite Users Screen (Race Management); Create Race Controller (Race Management),"Text Widget, Likely button label - keep concise"
Inviting to:,Invite Users Screen (Race Management),"Text Widget, Likely button label - keep concise"
Search Friends,Invite Users Screen (Race Management),"Text Widget, Likely button label - keep concise"
No users found,Invite Users Screen (Race Management),"Text Widget, Likely button label - keep concise"
Search for friends to invite,Invite Users Screen (Race Management),Text Widget
Type at least 2 characters to start searching,Invite Users Screen (Race Management),Text Widget
Personal Message (Optional),Invite Users Screen (Race Management),"Text Widget, Likely button label - keep concise"
Search by name or email...,Invite Users Screen (Race Management),Form Input
Add a personal message to your invite...,Invite Users Screen (Race Management),Form Input
Failed to search users,Invite Users Screen (Race Management),"String Literal, Error message"
Please select at least one user to invite,Invite Users Screen (Race Management),String Literal
] ?? user[,Invite Users Screen (Race Management),"String Literal, Likely button label - keep concise"
} successfully${failCount > 0 ?,Invite Users Screen (Race Management),"String Literal, Contains variable placeholder, Question, Success message"
", backgroundColor: const Color(0xFF35B555), colorText: Colors.white, snackPosition: SnackPosition.TOP, ); if (failCount == 0) { Get.back(); // Go back if all were successful } } else { Get.snackbar(",Invite Users Screen (Race Management),"String Literal, Contains variable placeholder, Success message"
"), ); } if (searchResults.isEmpty) { return Center( child: Column( mainAxisAlignment: MainAxisAlignment.center, children: [ Icon( Icons.people_outline, size: 64, color: Colors.grey[400], ), const SizedBox(height: 16), Text(",Invite Users Screen (Race Management),"String Literal, Contains variable placeholder"
", style: AppTextStyles.bodyLarge.copyWith( color: Colors.grey[600], ), ), const SizedBox(height: 8), Text(",Invite Users Screen (Race Management),String Literal
